video,Pitch,Yaw,Roll,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23,0,1,2
P1,-0.7949490151035215,-0.478767105143519,1.523848383299129,-0.44451987288634864,0.3654670195477337,-0.7410701678125989,0.08459297891744541,0.034431830620872225,-0.27386683218323177,1.245533096987411,1.2848958010636118,0.9422862461219799,-0.5401686157671718,-1.7956542642043345,-0.242375073415261,0.5608249700035152,1.3441314409310001,2.027409244979628,0.5995876802680336,-0.7919983187540754,-0.7507672445761482,1.4380242251789677,0.03291780900061747,0.37334172517199515,-0.6814856763382351,1.914497181145838,1.798031015245109,-2.0476021884457505,1.8857799540299731,-2.0461719039635953,0.9663374760427454,0.35800414019528315,0.19334506486283506,0.23468194500291267,-1.1566987777329893,-0.330408593066082,-0.9128067715112427,0.14310627948211746,-0.3305642174665434
P10,0.10895455668319061,-0.8827314795909335,-1.6407496365070084,0.024447186431869734,-0.544993243351547,-0.11707519079629887,-0.5013020546725148,1.5274332277562177,1.4474366337292808,-0.09192937692895385,-0.3793181013138753,-0.9293606621579511,-0.2777066993891745,0.7053187539945757,-0.35175236294860496,0.9760460661576116,-0.27875259952995585,0.5416329037783305,1.2152145384543396,0.10100372842002403,0.5326487031266643,0.5113691877813804,0.35409494529838237,-0.6000072585720434,-0.17627884568810673,0.20286335381716705,0.8779396764521434,0.7069531740380344,0.6179061488563078,0.4173673619794993,0.6953289208603548,-0.6994307538810174,-0.14419810701610455,0.16506564959820128,-0.9556354027375945,0.5979471607260151,-1.0881075080988813,0.13961132876479326,-0.08923259591756076
P11,1.0174987069652637,0.2510241576664243,0.14662202201001376,0.19056049287803614,0.20253411678918523,0.18339859660466845,-0.12466486264923474,0.036705210861301886,0.04219375482204784,-0.7635677578155484,-0.9387352223323463,-0.46941300476225084,1.2902902946264814,-1.0486273100567927,-0.2143815926306353,1.4489309448132242,1.9807158444072555,-0.5939088815358158,1.0095117628345436,0.802366000436876,0.049110023084209746,1.200119562592703,-1.5798916384053063,0.6501903401807412,0.7186724721676793,0.04134804262237967,-1.4531599008111529,1.0556680006462686,-0.22697708037360148,0.9799523556576212,0.9070092901225749,0.5061309171230008,0.17100042786289618,0.2257052224044459,-1.057486616928363,0.7190637342362601,0.5668522437449743,-1.0328715949569247,1.8730804786806594
P12,0.7766470412790638,-0.660762998614672,-0.5868085699017932,-0.27045633346221554,-0.2001001560867248,-0.19382072665497924,-0.4950202411035551,-0.797287003457517,-0.6784402445800339,-0.47733046676515944,-0.5646110790907771,-0.10467664091895827,0.4269313080438715,-1.149243407200804,-0.5277870034185549,1.5138076973729195,0.43935256610197265,-1.3688977371944067,-0.45153324496319547,-0.03662643278782714,-0.8214741904641084,0.4782713358649438,-0.5608255493378361,0.5150305801779949,0.8866625033639404,-0.05869766785457149,-1.0858321861173104,0.3082103952239366,-1.0312528623924657,2.098126424556155,-0.5267760632546991,-0.01054443452512342,0.6142206385054725,-0.2350002989358966,0.0053706618387346266,-0.12489668634043123,1.3079362637795577,-0.4038184625519595,1.160098967177948
P13,0.7753627939706561,-1.167413271548039,0.14871680376161966,6.842180205514614e-05,0.10201042697616718,0.07293156520830305,0.1433465822482761,-1.1712478050765378,-1.1086564845738878,-0.15498380891299127,-0.6177115929949111,-0.00042259365764978464,0.30409287530967655,-0.6023484206469123,-0.3078431336968169,-0.45399461325110396,1.090901292144747,-0.5162973798071808,0.350186978454266,-0.15699312947981578,-0.44938551143059957,-0.11765782325768034,0.7571158990215936,-0.44245262725526135,-0.0442013217752818,0.3846320500103794,0.05173387009958025,-1.091371869845577,-0.5969212866754647,-0.49353016470242483,1.6800350471126055,0.672315751583052,-0.24816511384184686,-0.29166162816092195,0.725420007852894,-2.4662078068253357,0.517106843226581,-0.6679687661030815,-0.5222642966079493
P14,-1.0189216637971346,-0.9628437603436313,-0.3297275028661734,0.6679931572975379,1.4869516620858216,0.7567096345927377,1.0684365411714771,-0.07091949981303375,-0.11439873565285325,-0.260514493405521,-0.2822124864457914,1.2250576777408502,0.1560377573630848,-0.10969645419307714,0.9526618235869425,-0.5437586043146643,0.46412741651467715,-0.272978987963751,-0.8606937208778065,-0.39041658798015294,-0.8156188556657037,-0.06567605126023555,1.1321587951717884,-0.5133067862035459,0.4683123704459703,0.7277148837651763,1.6036038150561456,-1.0644798500120793,1.0648414279413396,-0.8402527525206218,-0.46062861952017553,-0.6804596657368723,-0.31420234052192003,-0.04036072180559875,0.7060904896550517,-0.09409430580671894,-0.46656294409457555,1.7046411670261576,0.3082734880402661
P15,-0.3468536353038304,-0.2951268825495915,0.42830649250680064,-2.3515231674761408,-3.2658132738062857,-2.589455250483635,-3.473526664630868,-0.9615112894142436,-1.086389382257742,-0.3661874558469033,-0.38338261263440404,-0.34420672346658354,0.2165169203048786,-1.692784784372263,-1.9420473932140347,0.18626240066896427,-1.9039636696987394,0.6604146992187807,1.8878182633938436,2.1589327447802544,2.0396995962537714,-1.5439907223921137,0.5892374223550894,0.9707623644959877,-1.7031804710660117,1.3481828969812402,0.4156147082101215,0.16828415465648486,0.06198622150593687,-0.3458521748401549,-0.6725568391021268,-0.8128910507853362,0.9043245575115839,-0.546510784718743,-1.8627102660443102,-0.221109999142722,-0.7550976949590336,1.6321960089161,-0.537700350097755
P16,-0.18777325100569003,-0.5563975337497459,-0.6631297042849424,-0.8140839899603306,-0.41949077139510177,-0.9158547381662945,-0.32596648233437603,0.19100216909831974,0.27967069708801895,-0.7973904443096298,-0.8173863413091322,0.1749227524693752,1.028733443331034,-0.6146711687211205,0.25828452439549465,0.3258854915949175,0.12269467973266861,-0.4806237287563885,0.5712273027216173,0.912444322141615,1.3116730119070525,0.8851942402700739,0.5872588241783101,0.5308162250498608,0.37464815679475205,-0.599171279018058,0.12698576155228014,0.36445834780216,-1.1297676176462934,-0.1172456081073059,0.8867893763153045,-0.44235627087416934,1.9563683473684024,-0.7453137846405435,-0.413345550818217,0.038549430984267705,-0.026715463292845607,0.9805051527720879,0.27560115812720154
P17,-0.8903385994179476,-1.0890474494773446,0.5389495535199968,0.20672015280990672,-0.04929698311177655,0.34985178841212033,-0.056937621661423396,-1.5257076125218518,-1.4030628880080394,-0.5205421444084025,-0.16411988765368854,1.51652099898094,0.6432439862096976,0.01424992986205047,1.5779109784061047,-0.8897230141303425,-0.15922625870713358,-0.4688844587059089,-1.1597725758490773,0.48673069301805383,0.6224961678305796,-1.1586461594852193,-0.10292584832797753,-0.6124369396201758,-1.5098081104668655,-0.832556238866934,-0.8597399416817346,-0.18520247590609185,-0.8176231681990402,0.33861058058965465,0.7543756201163989,-0.04466787654949865,1.1781961701293697,-0.34122668656320804,1.270809946552831,-1.1272269325256137,1.8640767809481926,2.0794275963700253,-0.9947712539532806
P20,0.8549226063196177,-0.286366808113677,-1.1320922844305181,-0.47560471187366127,-0.7895398326101115,-0.4509631866272712,-1.240778532860926,-0.364073533564798,-0.40970663293827714,-1.0034755078956221,-1.0459814138247228,-1.8204875479932854,0.4535825537192302,0.21126325740101898,-1.7841118750335447,0.3588972124885569,-0.49239571555035894,-0.07231811421387702,-0.7722097766313969,0.3251245024946375,0.5955220555594767,-1.324859642235141,-0.7216906769087449,1.235678489387661,0.21963179539554656,0.5366184395148706,-1.8643425684057886,1.17160155269514,0.15628924208515793,0.7465086732507147,-0.13640692608466648,-0.04233294940779914,1.7854376589800536,0.029884206747427384,-0.058871134885111975,0.17494768322731954,-0.4206473506394878,-0.03837662661732917,-2.203985416057593
