video,Pitch,Yaw,Roll,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23
P1,-1.4055237239688991,-0.6073445099328074,1.8905319934106477,-0.13238027009674616,1.1409247887689857,-0.5134735068838678,0.8909425862865546,0.13148004558282717,-0.2056116380053023,-0.1788288141392076,-0.1711666655523401,0.8679315531359519,0.2559213152008115,-1.7039278901793427,-0.15832184479832015,1.0776522146999385,1.6290513857254976,2.322742330125302,-0.22198005042749447,-1.2551709817431194,-0.8349662091466736,1.8245302343093386,-0.291301498003959,0.06692361640071157,-0.5323357232654937,1.8953533698290814,2.441646455020489,-1.7436398702307447,1.6787846716041745,-1.1666402777054996,0.08763178139448828,-0.07119881211793141,0.5306007204342834,0.2621588449737484,-1.2760638131244302,-1.010799147120726
P10,0.16817456415179377,-0.8638186608213542,-2.143334485364975,-0.1581954644799535,-0.42116777420235413,-0.17718670054204677,-0.51631008596085,1.1635746893675984,1.1371280870607774,0.03716421426308622,-0.15354207724167024,-0.4183429507589323,-0.18598301405728337,0.1601731105240322,-0.19274514620415903,1.0412878384293036,0.21804910691780238,0.008004233778185824,1.652090006762537,0.3784973166270124,0.391128017953938,1.0606172842909076,0.148210314300619,-0.8993925588723976,-0.6459998228793963,-0.1907981277756262,0.9267239926052611,0.34063982613310917,0.6656649640466825,0.3317586526505066,0.6739770170707723,-0.804807257997549,-0.15842081900865454,0.9034107605341964,-0.5347076926569516,0.6192746039548259
P11,0.932435105873228,0.7614465264406274,0.00505673191550904,0.4468449889495938,0.3728921193716317,0.4482251940591914,0.10795672489091837,-0.014373150792281844,-0.03827986193818806,-0.6625422681686647,-0.9071525628350016,-0.5435525203799624,0.907840827859898,-0.6593714988230197,-0.3409602717523598,1.0355174314643794,1.7108030442418825,-0.24692196726419455,0.6464844922871552,0.6747439008206703,-0.2956844275239769,0.8796902575180603,-1.267218405908563,0.2577240868759406,0.9011382946759156,0.0732063096973149,-1.1759397914626966,1.1800670452169228,0.11226260143789424,0.6830703488917014,0.9437320492822022,0.16692746207988682,-0.06229390125698882,0.7070172507744503,-0.8589423839966248,0.9965479554500996
P12,0.5392920669796016,-0.9336245195886983,-0.4444428984803471,-0.5632189447279732,-0.2337223462724887,-0.518124370608876,-0.7022466100765127,-0.965448976688125,-0.8294019431119576,-0.29962783287419475,-0.3857823436932131,0.10297605487378912,0.3488184860725894,-1.2916669308365518,-0.35524283504987647,1.5167604234223389,0.27359013004142113,-1.7156338473861934,-0.3235656526933514,0.12065043509817469,-0.3955364295501816,0.43659135793027015,0.119297318139857,0.5090479047290578,0.7841013326856053,0.3399150741494423,-0.48179474545396944,-0.03945778620833392,-1.0826589528107986,1.735081513268595,-0.6621228319453952,-0.10451440123266427,0.8633963919018769,-0.9739949780675217,0.024408753100820604,-0.5252463721641842
P13,0.8642097077141638,-1.3650480225043784,0.8051444691447421,0.06376458373252003,0.2248288009571858,0.17060316458236052,-0.0626761524446797,-0.7826088768740469,-0.8090955150217942,-0.03581016522277282,-0.5226635500400012,0.1453731107066538,0.14615172046905414,-0.7222895955179578,-0.33381872295257464,0.11288097806117625,1.058111387444658,-0.2908477899398113,0.2271282712692313,-0.032324161792675735,-0.8717882465466072,0.23105405158496997,-0.3089534260204474,-0.431965380978782,0.19760365650846556,0.5527401816751196,-0.15715636373741243,-1.5089965028331243,0.3288694651258667,-0.44740912831931473,1.4468205470834126,0.9156492741564856,-0.25679247616193995,-0.10910520714337228,0.4437058983099966,-2.1367557063231635
P14,-1.1010456572347618,-1.2894248448957004,-0.4920343278491621,0.40232304218804493,0.9810371407980525,0.470635758866409,0.4843124371534049,0.31167536417563135,0.2658456240308262,-0.3643801083505423,-0.3900529179580699,0.9157323393100705,0.1609644934003096,0.26414435548273707,1.0680639497373239,0.30017670619975,-0.1677307699572722,-0.40140789919867154,-0.18408025699908992,-0.65574724767745,-0.38534064579051025,0.1714460345407053,1.4529540992493908,-0.8295528823973266,0.7142254788694108,1.044185030649236,1.3588768757612137,-0.8871194395272375,1.0600360845811547,-0.13183148927811345,-0.29697254635534487,-0.2585980463282301,-0.22782491177135306,-0.4493677679758296,0.5938957219720238,-0.2872100600957367
P15,-0.10399662829894772,-0.6428311342971597,0.31055067602906167,-2.0791992878429233,-3.348075999520256,-2.278201118116761,-3.487890751141071,-0.6651282061795815,-0.7528060162870922,-0.2899181175221232,-0.46301592778326833,-1.2603749938062638,-0.014534310363860738,-1.0802440766436752,-2.1116030752986092,0.925753489416785,-2.124989872553194,0.4008457497563848,1.974365351364292,1.7153723083936019,2.124749006194271,-1.8917280040044862,-0.06297984813942148,0.8088424253784553,-1.0703435147304958,0.8892870778074272,0.15116866242996457,0.4870974119095075,-0.1685108643852729,-0.003696815750226182,-0.704742852709533,-0.6716132382347136,0.8154865636725022,-0.3782021856877143,-1.528623834714504,-0.002906899050107796
P16,-0.030000439039641315,-0.9263337861661883,-0.5657571221088283,-0.7324229418524907,-0.45629070746323197,-0.8030227129085358,-0.493347095827313,0.1140190408139758,0.181607835182372,-0.6308430344230306,-0.678040151875779,0.392924384588807,0.9012392127535176,-0.71910375194025,0.3282982345414179,0.607648040775822,0.2792134835344613,-0.43623782730144356,0.6160335018009998,1.1165809736153331,1.1197147163515837,0.884213705460198,-0.10299713503673852,0.2500397128961944,0.1974527356359993,-0.4185484139897375,-0.10194898670102498,-0.2616730602498869,-0.9049960551086568,-0.1197524192808691,0.8455821668822096,0.11298678509258744,1.6396226911754703,-0.6858637408038513,-0.40814590276021767,-0.28509530860659654
P17,-0.5074960443330326,-0.523255468680717,0.4664053371918256,0.23014906817045616,0.09001667803739208,0.37180479607105804,-0.17541982952268542,-1.903751470025326,-1.7649275602920502,-0.52745520211909,-0.16324680763753452,1.4326811765683176,1.0378800595084146,-0.5294474876215226,1.4980163368015298,-1.1796061660955428,0.8283141520981248,-1.2066450912088205,-0.38156081556230137,0.5542045257942834,0.8478127507536,-1.652879088732043,0.26570253554700707,-0.21824400779474973,-1.3838504319221456,-0.2872650933409913,-0.527095499012187,-0.32642448130822826,-0.9106715572448667,0.638436393325025,1.2529640517255487,0.00024913042069884183,0.6334436179080027,-0.7399579580518513,0.6944648192703303,-1.3045967089206456
P20,1.5921010779029605,-0.5235514372696723,-1.2411669162911574,0.3941458990146901,-0.3579218177191681,0.3041381485081159,-1.3001470484405293,0.0723515764820426,-0.07269391920528998,-0.5197194454308594,-1.0276883674610586,-1.7997825933396532,0.23931397449712594,0.47657389140867984,-1.7166351059170222,-0.370867758034618,0.6510558140055963,-0.29727655597295727,0.20237109426549457,1.0785114596046765,-0.10531429604965012,-1.4851517457481442,-1.3383881119818546,0.574563874946593,-0.4240552400023052,1.5564375197341465,-2.1675410788355194,0.5535013082336752,0.6492586545089933,-0.005257697336539378,1.122913147688164,0.18650638789249366,1.5149000935483516,-0.1863247396899092,-1.8345432843104754,-0.8615686079697037
