video,Pitch,Yaw,Roll,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23,0,1,2,duration,energy,power,min_pitch,max_pitch,mean_pitch,pitch_sd,pitch_abs,pitch_quant,pitchUvsVRatio,Time:8,iDifference,diffPitchMaxMin,diffPitchMaxMean,diffPitchMaxMode,intensityMin,intensityMax,intensityMean,intensitySD,intensityQuant,diffIntMaxMin,diffIntMaxMean,diffIntMaxMode,avgVal1,avgVal2,avgBand1,avgBand2,fmean1,fmean2,fmean3,f2meanf1,f3meanf1,f1STD,f2STD,f3STD,f2STDf1,f2STDf2,jitter,shimmer,jitterRap,meanPeriod,percentUnvoiced,numVoiceBreaks,PercentBreaks,speakRate,numPause,maxDurPause,avgDurPause,TotDurPause:3,iInterval,MaxRising:3,MaxFalling:3,AvgTotRis:3,AvgTotFall:3,numRising,numFall,loudness
P1,0.2137179705141819,0.1275738708346359,0.2118231321078992,1.051369912471107,1.117567100624964,1.031057155351849,1.1235776450348227,0.9664780547033912,0.9439428699153828,1.080097500147926,1.3285496969122152,0.9213537425110528,-0.0854607235148303,-1.7334465999471051,-0.9861052386328468,0.7739309324512167,2.748516008332184,1.7906753525351071,0.3594157943777694,-0.9979427287424256,-0.6644542089814203,0.802512816415937,-0.1429160578980692,0.2237462674970134,0.3487791753414112,0.6439977190779747,0.0896108361821661,0.1070012687369952,0.3876797940751744,-0.2771207753663285,0.3583465351453275,0.2217636272945909,0.0750178468364672,-0.1752180997246823,-0.1346594441111855,-0.0691687845210052,12.659460700710786,1.3055647900910363,-0.00023171240021,34.186795833333335,0.0115097582779358,0.0003327213246468,78.06429425583478,340.5164536423034,129.3076388350037,25.242104125741548,176.17638307015608,121.94302567699636,0.9519038102608968,34.160272918,49.30586623377057,262.4521593864687,211.2088148072997,218.57342796530708,36.41803441500301,72.71934585251302,59.15763921151256,8.449370242798187,53.734580354034144,36.301311437510016,13.56170664100046,18.984765498478883,654.8917530657976,1823.9910163260247,418.1634385813515,474.386856457661,654.891753065798,1823.9910163260251,2752.0478502174965,2.7912077861749047,4.210417669306731,304.5650817165968,397.7968767269523,393.3088710856607,1.3103354156265865,1.3000459513310518,0.0233539999999999,0.176002,0.0125879999999999,0.0077570539999999,0.422898,86.4,0.4329379999999999,0.0007474804032581,35.0,2.3125333333333336,0.5312,17.998399999999997,87.8,211.46660000000003,186.2474,20.4186,13.812,59.2,2885.361923995485,
P10,0.3251149901822687,0.0953886078850608,-0.0715722035997559,1.0833658648810045,1.0128789099046205,1.073903012695404,1.0525244629086834,1.114880370246491,1.1140909520361193,0.921402662511877,0.7030496393231678,0.6985703284014391,0.5994837755107214,4.521802836372688,-1.1742373608205463,1.1985927037876012,0.7267701990168716,0.386735398173937,0.931628849018574,-0.3484038100787897,0.490516462407956,0.1078128187520752,0.0142173170570641,-0.2313786537895937,0.5810272148523998,-0.239948689522733,-0.2692561147969884,0.8423441033067762,-0.0874032822583186,0.3896175632068258,0.2842755549382761,0.0069690457225063,-0.0117589104103636,-0.1864447081958706,-0.0995837307339548,0.0611548890565992,9.282250718591436,1.3040412273941553,0.0011771584343884,77.3786125,0.0321180708417416,0.0004038035578836,74.78777188547413,345.93534705346167,112.955695522739,25.915805600889776,166.26580377779337,106.68148256055495,0.8252422685554521,77.35180625000001,19.723066308546485,271.14757516798755,232.97965153072263,239.25386449290667,35.44603137925848,72.98379723024206,59.93111149612393,9.678953175086225,53.24064614508072,37.53776585098358,13.05268573411812,19.743151085161344,678.7125655226885,1845.370843375764,463.8295562587229,607.8954103594639,678.7125655226885,1845.370843375766,2843.7097564251653,2.7241877913286183,4.2008248380923945,371.30998985494455,452.8145423393701,420.9685375053125,1.2215820149250551,1.1347188202485308,0.01772,0.1619939999999999,0.009056,0.0088940876,0.4065379999999999,149.4,0.411714,0.0002937440933513,58.0,2.5024,0.7232000000000001,39.8548,159.8,231.79720000000003,222.045,23.4998,17.217599999999997,114.4,4560.598782002586,
P11,0.4370839144539596,0.1857189083121872,0.0884900817298702,1.0946991842306175,1.0988324545413566,1.0945346804245548,1.098200342487886,0.9667040256183796,0.975184951150834,0.8417103003831418,0.4927909454656862,0.7533182132578318,4.691471406938605,0.1349621752952104,-0.937955636737412,1.6822293303176683,3.5415559408944945,-0.6862608786143692,0.740432165475124,0.1617429395271277,0.0553707133380789,0.6241591013084792,-0.931970330414727,0.3531969642342652,0.99244423540675,-0.3233607353616955,-1.17846432321108,0.935435334126472,-0.4039881995010416,0.5418769524427203,0.3421311913822655,0.2518523157311528,0.0692734108583409,-0.1766657227184309,-0.1173517802166622,0.0781573762243816,41.165440160517306,0.7929177839482693,0.0126329537479396,50.43133333333333,0.0072204028633383,0.0001339143313954,73.60558674659117,384.00452415846496,186.5244016977725,35.91164812112192,226.3535792456261,183.7920113942509,0.6286105110280548,50.405666668,83.85467949649454,310.3989374118738,197.48012246069243,200.21251276421407,34.93970798976081,68.13124839164718,55.14272373421724,7.188653823371256,51.75748354678541,33.19154040188637,12.988524657429949,16.373764844861775,659.6056179012361,1837.263032384,391.7697730376087,537.2897422920622,659.6056179012363,1837.263032384,2867.69438016316,2.7858673230801925,4.348037239395291,281.8184366608859,394.67393249354944,380.67438633644736,1.4005470585902982,1.352027122055968,0.017442,0.1608239999999999,0.009364,0.0053551622,0.333298,120.8,0.3671159999999999,0.000359704478502,47.4,2.998189583333334,0.5326,25.753,127.8,176.2874,203.0714,24.309800000000003,15.5036,84.4,4359.2235729705335,
P12,0.4074013702346654,0.1130736176993822,0.0228100782942858,1.063245647905083,1.0525360314386571,1.0686333736722202,1.053286276574969,0.8838063297506443,0.903951438096668,0.8756734068736081,0.6334066877141691,0.7967330325955302,2.438371236427132,-0.1166913932818807,-1.4770220671472134,1.7485811532759314,1.621366530651053,-1.41856343887995,-0.6175804289439398,-0.4485112469758754,-0.7280847481766679,0.0829998336377861,-0.4334003022884304,0.2899980744632526,1.0696707355958197,-0.3750277713012848,-1.0351940070756709,0.7358976512837536,-0.7053571616034731,0.8445023383009757,-0.0497453176810502,0.1469011110871904,0.1832179839679822,-0.2509609790019573,0.0680647695243933,-0.0403187811262691,55.44259836742934,1.06714250538358,0.0084706361423283,35.91044166666667,0.008005216016209,0.0002049955697161,73.70641425597859,326.3463987352232,181.00669273155577,40.49445758413659,266.1102112890755,184.08150094119136,0.8043795260303517,35.884595832,63.35011161103274,252.6399844792446,145.33970600366743,142.2648977940318,33.17267843038159,72.56256395359358,56.99071696773062,7.800502317974187,51.46203482554449,39.389885523212,15.57184698586297,21.100529128049093,657.286596814755,1752.0444631995044,464.1831445104439,573.3844162788162,657.2865968147552,1752.044463199505,2818.2170753437717,2.6666300767771056,4.288330084364352,349.31279128350445,423.43577838336734,448.213032866352,1.21785199438293,1.2857561841794225,0.0185719999999999,0.153002,0.009678,0.00551237,0.385336,92.2,0.3974979999999999,0.0005732578785535,24.0,4.592918749999998,0.9796,24.3694,94.8,152.8112,148.5378,25.607,27.0372,53.4,4160.100665032834,
P13,0.4072430996766781,0.0727070079453899,0.0886776731313737,1.081702588585988,1.08727385759881,1.0869495958602426,1.1307028641247563,0.846635132865565,0.861425253968326,0.9139210224351731,0.6134486916551325,0.809142463285085,2.117800884997432,1.251162050747267,-1.0987122082225127,-0.2639620980411997,2.4330486185885003,-0.6129242093100898,0.1276027480222962,-0.5360618346367183,-0.393234996458271,-0.3637597141362883,0.2113921326935453,-0.1577082227582016,0.6417444184435416,-0.1460771010844599,-0.5915045113485559,0.3622719097115077,-0.5426094336368537,0.1430900115877925,0.5534115161196669,0.2856091003629423,-0.0384871053928791,-0.2600984166516977,0.1936781214281577,-0.3689947924110794,40.207083302095015,0.951990796129032,-0.0013508390557184,51.04985833333333,0.0016175233972239,2.9278237474844768e-05,75.1415981321392,332.370097186444,181.15610482217448,41.08178126529639,249.15493776489816,189.41658666431823,1.1124068189221454,51.023054168,55.825700432130645,257.22849905430473,151.2139923642695,142.95351052212573,31.83158483994161,61.57682010646236,48.55454273135889,6.242897634283118,44.608056676531206,29.745235266520744,13.022277375103467,16.96876342993115,621.261380757141,1898.7575569805497,492.083382148208,678.4766697891343,621.2613807571408,1898.7575569805483,2939.5740630759037,3.058960400688157,4.735106903558076,360.2897222630365,380.02427274013183,410.5944952175034,1.0593682197723504,1.143551162681473,0.022278,0.171692,0.0119719999999999,0.0055028154,0.448168,113.8,0.49184,0.0004866135344341,37.0,2.650825,0.6952,25.0772,118.6,186.6008,166.8634,31.682,19.6138,77.4,420.3714242933577,
P14,0.1861155952936499,0.0890057806245064,0.0458321413938212,1.1272727147295507,1.2465196787134285,1.1339003866431812,1.2428911940576477,0.9560062752315596,0.9597060350523938,0.9013994189002912,0.7395470917272332,0.9550122197964988,1.731422777310192,2.483346849638646,1.0693930141108308,-0.3557670082453,1.6522303809012977,-0.3830077659888157,-0.9978870426793196,-0.7058460152047565,-0.7228154198849105,-0.3247897248438281,0.3948789048353572,-0.1908386765345286,0.8773514867164491,0.031102640229377,0.013777607917285,0.3694508738234651,0.0800671603387673,0.0492521558882645,-0.0316661614997648,0.0108226039535767,-0.0554641823012098,-0.2195726048758094,0.1903060670197255,-0.0359947066863883,21.256453147786345,1.986288639142016,0.0034977607850834,42.79725833333333,0.0115135893770842,0.0002627599284591,75.49096866304676,384.9558911315672,192.32651723862145,44.02081903828192,241.956463138223,187.60417736344365,0.970134279482522,42.771129168,163.8481860175521,309.4649224685205,192.6293738929458,197.3517137681236,34.666896164718445,73.45942180390799,57.75763669916379,7.782636542903466,52.65515196378831,38.79252563918955,15.7017851047442,20.804269840119684,690.1054327761846,1970.312359913405,481.94276440973,616.7041837259162,690.1054327761847,1970.312359913404,3011.0756779297526,2.857501984307149,4.367879527753263,369.4052550521045,396.0838908267252,395.06857777086935,1.075142257478128,1.0701030377518586,0.021052,0.154732,0.01108,0.0052009362,0.4194159999999999,102.2,0.456476,0.0005776558354899,39.6,2.1217208333333337,0.623,24.878,105.8,229.6732,199.878,26.1658,20.5398,62.2,4380.94512511265,
P15,0.2689412171023738,0.14220513345622,0.1137154230150677,0.9212618687464192,0.7000286539725982,0.9041400382513868,0.6920742040335361,0.8674826582851306,0.8636263212574515,0.8888609335639137,0.7015219798910298,0.7682216027228096,1.8892547040686312,-1.4761570366244752,-3.9095911095270326,0.3908521206008509,-1.297874562067426,0.4989747062347792,1.5568007805101398,1.1484628457179584,1.8467405181932024,-1.4330610417148266,0.1292589151021224,0.5030921403425831,-0.1209029402957714,0.3515336010908672,-0.4495785944458071,0.6985436159389045,-0.2957111976068263,0.1830579467312575,-0.0895895394071732,-0.0160779117167941,0.2577988952505733,-0.3011964337647083,-0.2578238772438093,-0.0538253192397537,15.69776320856518,1.9547074383202097,-0.0014409532538641,85.9143,0.0118837927915019,0.0001361760289921,69.31472114130614,403.3664343028728,170.82746014251168,42.59668721306093,230.651946027565,169.3193641111787,0.9976576840810712,85.887775,68.16973780866626,334.0517131615666,232.53897416036108,234.04707019169405,33.79690980935211,70.18254541648209,55.255877513401344,7.7838485061078115,50.91195079295831,36.38563560712998,14.926667903080736,19.270594623523785,642.3252926319235,1829.308624192785,428.08280396096177,534.6619467748459,642.3252926319236,1829.3086241927845,2844.840548070405,2.8490903105169894,4.430299400606106,329.2107801832069,394.80035622895946,376.51454956720914,1.2014798732098415,1.143717056528888,0.0203359999999999,0.16069,0.010724,0.0058537138,0.429338,206.4,0.4918620000000001,0.0002404717372215,75.8,2.5813333333333306,0.595,44.528000000000006,215.6,252.0406,253.3656,27.481600000000004,22.3756,118.4,9738.42317178959,
P16,0.2885462737163643,0.1213887814663038,0.0159753860633191,1.0261558688248529,1.0273096624101852,1.0190557850795474,1.0737879139371,0.9820409341621796,0.998659165358049,0.837697114333984,0.5384003061133477,0.8300139399966358,4.00888884810654,1.2203413012293003,-0.124956155202109,0.5336497521789723,1.2268825510242984,-0.5792154587806182,0.3330553813275475,0.2418101177319995,1.1915754063545334,0.3880641017105295,0.1282909015854032,0.2973792301430284,0.8342932209268904,-0.6541468795494773,-0.562153711376379,0.7509133338330859,-0.742271476576499,0.2449285913755282,0.3366047649770229,0.0591880582779323,0.5282619238974195,-0.3332562184752387,-0.0049807061217367,-0.0173740227674803,29.730218470677737,1.670614196776691,0.003307022860159,93.3723,0.013743803460147,0.0001405113210916,79.78842206245392,391.1185987284345,218.64393563602923,39.54113940702192,215.05796814709052,210.660312860534,1.0942101892433211,93.345525,70.54246865566815,311.3301766659805,172.47466309240522,180.45828586790043,33.25027552147986,71.60060543235065,55.2097307291704,7.825686196563825,50.38928025433843,38.350329910870784,16.39087470318024,21.21132517801221,663.4149723048212,1890.8996602091909,468.1042207287819,571.1405141000793,663.4149723048218,1890.8996602091893,2978.3438612261657,2.8544364899677137,4.495487265547384,328.8663971436496,393.5558803079642,356.4382280404919,1.1991680854407574,1.0855228779094452,0.0197139999999999,0.1619759999999999,0.0105399999999999,0.0045730712,0.470322,213.0,0.493382,0.0002842336824245,78.2,3.9744000000000015,0.6692,52.1648,225.0,237.569,228.4086,25.1488,16.8984,148.2,7699.235905547156,
P17,0.2019621641077524,0.0789506886983154,0.1236237043270424,1.0958017002813012,1.0698759549663035,1.1059639867062545,1.1064138205222052,0.8114023083733872,0.8323236539887843,0.8705461825205422,0.7839325684017008,0.9897052986600056,3.00288048418323,2.793352412814638,2.144839762645725,-0.7095974384726428,0.8756729379905674,-0.5681227863494647,-1.275874955171913,-0.0678393071448286,0.5713719222590311,-1.1441737469314244,-0.2093764933709765,-0.2371906058264559,-0.0320079592303522,-0.7746748767098303,-0.9470103333688088,0.6041785273149374,-0.6253083019303337,0.3683026337875327,0.3004139638860773,0.1399696862850729,0.3282067494893054,-0.268091480650567,0.288821959380259,-0.1810270810287774,66.15677642853494,2.1496702342572487,-0.0041092893038702,48.09298333333333,0.0048203352920322,8.477996220626486e-05,78.35446008966105,379.79867593436586,185.05851730434568,68.88499517975735,229.9713231850197,184.698631169636,2.381469218036075,48.065866668,32.30781863208236,301.44421584470484,194.74015863002015,195.10004476472992,32.987583781848834,69.46120354293836,51.62860502165044,6.87348325209111,44.13341065082966,36.47361976108954,17.83259852128793,25.327792892108707,698.5159142693078,1887.4017186176093,602.2895966035619,712.3782441288424,698.5159142693084,1887.401718617612,3018.527285622152,2.7076084745557387,4.335775683103567,372.5947516498175,417.103235407276,392.3197600627856,1.13098683984792,1.0605456650907434,0.0202079999999999,0.1653939999999999,0.0109819999999999,0.0054974446,0.6258239999999999,91.2,0.5937680000000001,0.00076224204507,25.2,7.828566666666669,1.3219999999999998,32.1306,96.8,214.9776,198.267,33.3442,30.9428,54.2,3752.889458382038,
P20,0.4170480459758812,0.1429030794064376,-0.0260210403399386,1.0492491046038053,0.9847600111239252,1.0509769989212168,0.962846015626454,0.926867161562252,0.930515323854014,0.813244364187486,0.4524821252720478,0.5924988845019517,2.507922752202949,3.286107631310804,-3.637937420439669,0.5674120441227144,0.4606192826638885,-0.1933992696611017,-0.9156429570767678,-0.1853860816165164,0.5470974003352143,-1.268781612229771,-0.5121022942769581,0.6269633648494368,0.7630308312621215,-0.067586117198988,-1.3388395642265434,0.9663843968850035,-0.2603750553649883,0.4786971788908685,0.0569488219681767,0.1404439752471756,0.4843184758053064,-0.2082446204525238,0.0568577217526369,0.0017737244504037,22.14102787103021,1.2264504882829772,-0.011168565476787,41.0785125,0.0018881299018781,4.349469920493034e-05,78.49118298738895,380.42371664152313,200.199613174693,56.06703107693916,289.83425309381016,209.38191005204743,1.0676007099267522,41.05175625,63.461872305263206,301.9325336541342,180.22410346683017,171.0418065894757,33.420524704133605,63.18298111012389,50.178805318992914,6.525551063104965,45.91164127005287,29.762456405990275,13.004175791130962,17.271339840071,678.7259946058473,1877.672580185535,560.7708745477433,743.366741995313,678.7259946058473,1877.672580185536,2973.0819847101434,2.7673193326131957,4.3831692207481545,378.50244939434015,410.5257605385494,411.8414369126255,1.087994865436922,1.089795875092049,0.029518,0.164628,0.016206,0.0049930894,0.454452,85.2,0.507674,0.0005683109589049,31.8,3.857066666666667,0.6452,21.358,87.0,163.6164,199.0892,31.587,31.1396,50.0,2234.014316980186,
